FID,TANKID,Include,Sex,Diet,P,L,E,P_L,Tank,Family,Wet_wt,Dry_wt,Fat_free_wt,Ashed_wt,Fat,Protein,Pwater,Pfat,Pash,Pprotein,Energy_fat,Energy_protein,Total_energy,P_F,Diff_P_F,Testes_wt,Wt_body,Sperm_y,P_end
MT135,O5M,y,m,1,67.5,6.6,19.3,10.22727273,O5,f105,0.7102,0.2031,0.1613,0.0285,0.0418,0.1328,71.4,20.6,14.03,65.39,1.66,3.15,4.80264,3.177033493,-7.050239234,NA,0.76,n,y
MT134,O5S,y,m,1,67.5,6.6,19.3,10.22727273,O5,f107,0.583,0.1794,0.1262,0.0183,0.0532,0.1079,69.2,29.7,10.2,60.14,2.11,2.56,4.663953096,2.028195489,-8.199077238,0.0048,0.69,y,y
MT060,O6L,y,f,1,67.5,6.6,19.3,10.22727273,O6,f105,1.2551,0.3978,0.2912,0.0567,0.1066,0.2345,68.3,26.8,14.25,58.94,4.22,5.56,9.779640621,2.199812383,-8.027460344,NA,1.35,n,y
MT058,O6M,y,f,1,67.5,6.6,19.3,10.22727273,O6,f102,0.9809,0.2801,0.2165,0.0363,0.0636,0.1801,71.4,22.7,12.97,64.32,2.52,4.27,6.789063163,2.831761006,-7.395511721,NA,1.09,n,y
MT059,O6S,y,f,1,67.5,6.6,19.3,10.22727273,O6,f115,0.8358,0.254,0.2018,0.0461,0.0522,0.1557,69.6,20.6,18.14,61.31,2.07,3.69,5.757629371,2.982758621,-7.244514106,NA,0.9,n,y
MT142,O7L,y,m,2,59.3,13,20.2,4.561538462,O7,f106,0.9557,0.3322,0.2217,0.0406,0.1105,0.1811,65.2,33.3,12.22,54.52,4.38,4.29,8.668021518,1.638914027,-2.922624435,0.0127,1.09,y,y
MT143,O7M,y,m,2,59.3,13,20.2,4.561538462,O7,f107,0.6013,0.1919,0.1452,0.0368,0.0467,0.1084,68.1,24.3,19.16,56.5,1.85,2.57,4.419554576,2.321199143,-2.240339319,0.003,0.69,y,y
MT144,O7S,y,m,2,59.3,13,20.2,4.561538462,O7,f105,0.4151,0.125,0.0874,0.0085,0.0376,0.0789,69.9,30,6.83,63.13,1.49,1.87,3.357289157,2.098404255,-2.463134207,NA,0.41,n,y
MT109,O8L,y,f,3,51.6,20.5,22.2,2.517073171,O8,f107,1.3678,0.4602,0.3062,0.074,0.154,0.2322,66.4,33.5,16.07,50.46,6.1,5.5,11.60264163,1.507792208,-1.009280963,NA,1.47,n,y
MT110,O8M,y,f,3,51.6,20.5,22.2,2.517073171,O8,f105,1.0478,0.377,0.2392,0.0505,0.1378,0.1887,64,36.6,13.41,50.04,5.46,4.47,9.927996528,1.369375907,-1.147697264,NA,1.15,n,y
MT111,O8S,y,f,3,51.6,20.5,22.2,2.517073171,O8,f112,0.8103,0.2826,0.1838,0.0368,0.0988,0.147,65.1,35,13.02,52.02,3.91,3.48,7.396457638,1.487854251,-1.02921892,NA,0.9,n,y
MT079,O9L,y,m,4,33.2,3.9,17.5,8.512820513,O9,f107,1.0913,0.3461,0.2443,0.0372,0.1018,0.2071,68.3,29.4,10.76,59.83,4.03,4.91,8.938526125,2.034381139,-6.478439374,NA,1.19,n,y
MT080,O9S,y,m,4,33.2,3.9,17.5,8.512820513,O9,f115,0.7462,0.2456,0.2033,0.0498,0.0423,0.1535,67.1,17.2,20.28,62.51,1.67,3.64,5.312520785,3.628841608,-4.883978905,NA,NA,n,y
MT014,P10L,y,m,1,67.5,6.6,19.3,10.22727273,P10,f119,1.164,0.3496,0.2669,0.048,0.0827,0.2188,70,23.7,13.74,62.59,3.28,5.19,8.462640489,2.645707376,-7.581565351,0.0104,1.3,y,y
MT013,P10S,n,m,1,67.5,6.6,19.3,10.22727273,P10,f107,0.4397,0.1131,0.1114,0.0358,0.0017,0.0756,74.3,1.5,31.67,66.87,0.07,1.79,1.857886497,44.47058824,34.24331551,0.0035,0.52,y,y
MT018,P11L,y,f,1,67.5,6.6,19.3,10.22727273,P11,f115,1.5018,0.4839,0.327,0.0558,0.1569,0.2711,67.8,32.4,11.54,56.03,6.21,6.43,12.64028904,1.727852135,-8.499420592,NA,1.62,n,y
MT016,P11M,y,f,1,67.5,6.6,19.3,10.22727273,P11,f107,0.7422,0.1791,0.1627,0.0417,0.0164,0.121,75.9,9.2,23.29,67.56,0.65,2.87,3.516731228,7.37804878,-2.849223947,NA,0.83,n,y
MT017,P11S,y,f,1,67.5,6.6,19.3,10.22727273,P11,f102,0.5921,0.1667,0.1364,0.0335,0.0303,0.1029,71.8,18.2,20.07,61.72,1.2,2.44,3.640191733,3.396039604,-6.831233123,NA,0.6,n,y
MT020,P12L,y,m,2,59.3,13,20.2,4.561538462,P12,f119,1.2601,0.3982,0.2806,0.055,0.1176,0.2256,68.4,29.5,13.81,56.66,4.66,5.35,10.0039023,1.918367347,-2.643171115,0.0052,1.37,y,y
MT019,P12M,y,m,2,59.3,13,20.2,4.561538462,P12,f107,0.4326,0.1089,0.0902,0.0196,0.0187,0.0706,74.8,17.2,17.96,64.87,0.74,1.67,2.41451515,3.77540107,-0.786137392,0.0046,0.5,y,y
MT021,P12S,y,m,2,59.3,13,20.2,4.561538462,P12,f115,0.2414,0.0745,0.0577,0.0132,0.0168,0.0445,69.1,22.6,17.72,59.73,0.67,1.05,1.71993,2.648809524,-1.912728938,0.001,0.28,y,y
MT026,P14L,y,m,4,33.2,3.9,17.5,8.512820513,P14,f119,0.6277,0.1946,0.1633,0.0681,0.0313,0.0951,69,16.1,35.01,48.88,1.24,2.25,3.495440179,3.038338658,-5.474481855,0.0034,0.71,y,y
MT025,P14M,n,m,4,33.2,3.9,17.5,8.512820513,P14,f107,0.5363,0.1254,0.1238,0.0338,0.0016,0.09,76.6,1.3,26.93,71.78,0.06,2.13,2.197292267,56.25,47.73717949,0.0038,0.64,y,y
MT027,P14S,y,m,4,33.2,3.9,17.5,8.512820513,P14,f115,0.1711,0.0502,0.0401,0.0079,0.0101,0.0322,70.7,20.2,15.73,64.11,0.4,0.76,1.163567177,3.188118812,-5.324701701,NA,0.21,n,y
MT028,P15S,y,f,5,31.2,19.2,21.5,1.625,P15,f107,0.7841,0.2598,0.1615,0.0258,0.0983,0.1357,66.9,37.8,9.92,52.24,3.89,3.22,7.10985313,1.380467955,-0.244532045,NA,NA,n,y
MT069,P1L,y,f,1,67.5,6.6,19.3,10.22727273,P1,f102,1.194,0.3569,0.2803,0.0553,0.0766,0.225,70.1,21.5,15.5,63.03,3.03,5.33,8.365314615,2.937336815,-7.289935912,NA,1.27,n,y
MT068,P1S,y,f,1,67.5,6.6,19.3,10.22727273,P1,f105,0.4836,0.1298,0.1187,0.0302,0.0111,0.0885,73.2,8.6,23.3,68.15,0.44,2.1,2.536026963,7.972972973,-2.254299754,NA,0.54,n,y
MT072,P3L,y,f,3,51.6,20.5,22.2,2.517073171,P3,f107,1.4662,0.5614,0.3256,0.0696,0.2358,0.256,61.7,42,12.39,45.6,9.34,6.07,15.40600609,1.085665818,-1.431407353,NA,1.57,n,y
MT070,P3M,y,f,3,51.6,20.5,22.2,2.517073171,P3,f115,1.3313,0.434,0.3058,0.0787,0.1282,0.2271,67.4,29.5,18.14,52.33,5.08,5.38,10.45806852,1.771450858,-0.745622313,NA,1.4,n,y
MT071,P3S,y,f,3,51.6,20.5,22.2,2.517073171,P3,f105,0.8933,0.3128,0.2095,0.0473,0.1033,0.1622,65,33,15.11,51.87,4.09,3.85,7.934925797,1.57018393,-0.946889241,NA,0.97,n,y
MT086,P4L,y,m,4,33.2,3.9,17.5,8.512820513,P4,f109,1.2064,0.3705,0.2716,0.051,0.0989,0.2205,69.3,26.7,13.77,59.53,3.92,5.23,9.144880477,2.229524772,-6.283295741,0.0031,1.4,n,y
MT085,P4M,y,m,4,33.2,3.9,17.5,8.512820513,P4,f112,1.106,0.3457,0.2656,0.0669,0.0801,0.1987,68.7,23.2,19.36,57.47,3.17,4.71,7.880033312,2.480649189,-6.032171324,0.0083,1.24,y,y
MT087,P4S,y,m,4,33.2,3.9,17.5,8.512820513,P4,f108,0.2422,0.0644,0.0564,0.0108,0.008,0.0455,73.4,12.5,16.8,70.72,0.32,1.08,1.397737997,5.6875,-2.825320513,0.0016,0.3,y,y
